delegacion,ano,detecciones,fecha
     Tlaxcala,2003,45317,2003-01-01
     Veracruz Norte,2003,189470,2003-01-01
     Veracruz Sur,2003,184734,2003-01-01
     Yucatán,2003,156252,2003-01-01
     Zacatecas,2003,47165,2003-01-01
     Aguascalientes,2004,74935,2004-01-01
     Baja California,2004,158505,2004-01-01
     Baja California Sur,2004,89279,2004-01-01
     Campeche,2004,63447,2004-01-01
     Coahuila ,2004,363994,2004-01-01
     Colima,2004,44102,2004-01-01
     Chiapas,2004,58580,2004-01-01
     Chihuahua,2004,338580,2004-01-01
     D.F. Norte,2004,466068,2004-01-01
     D.F. Sur,2004,309819,2004-01-01
     Durango,2004,118771,2004-01-01
     Guanajuato,2004,238961,2004-01-01
     Guerrero,2004,118622,2004-01-01
     Hidalgo,2004,75648,2004-01-01
     Jalisco,2004,488321,2004-01-01
     México Oriente,2004,450855,2004-01-01
     México Poniente,2004,208583,2004-01-01
     Michoacán,2004,170582,2004-01-01
     Morelos,2004,106465,2004-01-01
     Nayarit,2004,29875,2004-01-01
     Nuevo León,2004,539394,2004-01-01
     Oaxaca,2004,76650,2004-01-01
     Puebla,2004,290450,2004-01-01
     Querétaro,2004,158768,2004-01-01
     Quintana Roo,2004,111251,2004-01-01
     San Luis Potosí,2004,145502,2004-01-01
     Sinaloa,2004,302588,2004-01-01
     Sonora,2004,130045,2004-01-01
     Tabasco,2004,41517,2004-01-01
     Tamaulipas,2004,229312,2004-01-01
     Tlaxcala,2004,44448,2004-01-01
     Veracruz Norte,2004,282671,2004-01-01
     Veracruz Sur,2004,268737,2004-01-01
     Yucatán,2004,151960,2004-01-01
     Zacatecas,2004,43589,2004-01-01
     Aguascalientes,2005,21357,2005-01-01
     Baja California,2005,42437,2005-01-01
     Baja California Sur,2005,13408,2005-01-01
     Campeche,2005,13777,2005-01-01
     Coahuila ,2005,92649,2005-01-01
     Colima,2005,13492,2005-01-01
     Chiapas,2005,14784,2005-01-01
     Chihuahua,2005,93994,2005-01-01
     D.F. Norte,2005,152312,2005-01-01
     D.F. Sur,2005,111194,2005-01-01
     Durango,2005,30547,2005-01-01
     Guanajuato,2005,65203,2005-01-01
     Guerrero,2005,48952,2005-01-01
     Hidalgo,2005,22981,2005-01-01
     Jalisco,2005,128065,2005-01-01
     México Oriente,2005,136785,2005-01-01
     México Poniente,2005,52521,2005-01-01
     Michoacán,2005,54767,2005-01-01
     Morelos,2005,28522,2005-01-01
     Nayarit,2005,14270,2005-01-01
     Nuevo León,2005,134003,2005-01-01
     Oaxaca,2005,17188,2005-01-01
     Puebla,2005,58889,2005-01-01
     Querétaro,2005,34419,2005-01-01
     Quintana Roo,2005,15432,2005-01-01
     San Luis Potosí,2005,37809,2005-01-01
     Sinaloa,2005,78712,2005-01-01
     Sonora,2005,43419,2005-01-01
     Tabasco,2005,12858,2005-01-01
     Tamaulipas,2005,47432,2005-01-01
     Tlaxcala,2005,11198,2005-01-01
     Veracruz Norte,2005,71687,2005-01-01
     Veracruz Sur,2005,75235,2005-01-01
     Yucatán,2005,42288,2005-01-01
     Zacatecas,2005,18486,2005-01-01
     Aguascalientes,2006,29483,2006-01-01
     Baja California,2006,73488,2006-01-01
     Baja California Sur,2006,21050,2006-01-01
     Campeche,2006,24160,2006-01-01
     Coahuila ,2006,119856,2006-01-01
     Colima,2006,21803,2006-01-01
     Chiapas,2006,35600,2006-01-01
     Chihuahua,2006,119561,2006-01-01
     D.F. Norte,2006,165610,2006-01-01
     D.F. Sur,2006,155963,2006-01-01
     Durango,2006,41499,2006-01-01
     Guanajuato,2006,132370,2006-01-01
     Guerrero,2006,68286,2006-01-01
     Hidalgo,2006,38248,2006-01-01
     Jalisco,2006,211503,2006-01-01
     México Oriente,2006,212485,2006-01-01
     México Poniente,2006,77611,2006-01-01
     Michoacán,2006,81738,2006-01-01
     Morelos,2006,43161,2006-01-01
     Nayarit,2006,32907,2006-01-01
     Nuevo León,2006,196877,2006-01-01
     Oaxaca,2006,27208,2006-01-01
     Puebla,2006,77829,2006-01-01
     Querétaro,2006,46806,2006-01-01
     Quintana Roo,2006,28354,2006-01-01
     San Luis Potosí,2006,44652,2006-01-01
     Sinaloa,2006,107343,2006-01-01
     Sonora,2006,76606,2006-01-01
     Tabasco,2006,23383,2006-01-01
     Tamaulipas,2006,83731,2006-01-01
     Tlaxcala,2006,16765,2006-01-01
     Veracruz Norte,2006,108037,2006-01-01
     Veracruz Sur,2006,86261,2006-01-01
     Yucatán,2006,67405,2006-01-01
     Zacatecas,2006,23782,2006-01-01
     Aguascalientes,2007,78604,2007-01-01
     Baja California,2007,206365,2007-01-01
     Baja California Sur,2007,43319,2007-01-01
     Campeche,2007,29228,2007-01-01
     Coahuila ,2007,235882,2007-01-01
     Colima,2007,39648,2007-01-01
     Chiapas,2007,111003,2007-01-01
     Chihuahua,2007,219450,2007-01-01
     D.F. Norte,2007,306585,2007-01-01
     D.F. Sur,2007,300465,2007-01-01
     Durango,2007,103150,2007-01-01
     Guanajuato,2007,242532,2007-01-01
     Guerrero,2007,121102,2007-01-01
     Hidalgo,2007,76123,2007-01-01
     Jalisco,2007,499633,2007-01-01
     México Oriente,2007,458561,2007-01-01
     México Poniente,2007,193512,2007-01-01
     Michoacán,2007,182762,2007-01-01
     Morelos,2007,83713,2007-01-01
     Nayarit,2007,66401,2007-01-01
     Nuevo León,2007,296307,2007-01-01
     Oaxaca,2007,57414,2007-01-01
     Puebla,2007,151475,2007-01-01
     Querétaro,2007,114698,2007-01-01
     Quintana Roo,2007,55508,2007-01-01
     San Luis Potosí,2007,135611,2007-01-01
     Sinaloa,2007,159611,2007-01-01
     Sonora,2007,178656,2007-01-01
     Tabasco,2007,33611,2007-01-01
     Tamaulipas,2007,171559,2007-01-01
     Tlaxcala,2007,45357,2007-01-01
     Veracruz Norte,2007,222551,2007-01-01
     Veracruz Sur,2007,115955,2007-01-01
     Yucatán,2007,108336,2007-01-01
     Zacatecas,2007,39863,2007-01-01
     Aguascalientes,2008,133158,2008-01-01
     Baja California,2008,253983,2008-01-01
     Baja California Sur,2008,65500,2008-01-01
     Campeche,2008,20968,2008-01-01
     Coahuila ,2008,284550,2008-01-01
     Colima,2008,50894,2008-01-01
     Chiapas,2008,133367,2008-01-01
     Chihuahua,2008,255615,2008-01-01
     D.F. Norte,2008,538893,2008-01-01
     D.F. Sur,2008,381977,2008-01-01
     Durango,2008,115408,2008-01-01
     Guanajuato,2008,238322,2008-01-01
     Guerrero,2008,126024,2008-01-01
     Hidalgo,2008,81043,2008-01-01
     Jalisco,2008,642554,2008-01-01
     México Oriente,2008,512808,2008-01-01
     México Poniente,2008,215377,2008-01-01
     Michoacán,2008,222616,2008-01-01
     Morelos,2008,90289,2008-01-01
     Nayarit,2008,62861,2008-01-01
     Nuevo León,2008,466138,2008-01-01
     Oaxaca,2008,67711,2008-01-01
     Puebla,2008,222817,2008-01-01
     Querétaro,2008,172443,2008-01-01
     Quintana Roo,2008,48227,2008-01-01
     San Luis Potosí,2008,168779,2008-01-01
     Sinaloa,2008,194429,2008-01-01
     Sonora,2008,225624,2008-01-01
     Tabasco,2008,36710,2008-01-01
     Tamaulipas,2008,231250,2008-01-01
     Tlaxcala,2008,51438,2008-01-01
     Veracruz Norte,2008,286060,2008-01-01
     Veracruz Sur,2008,130405,2008-01-01
     Yucatán,2008,137939,2008-01-01
     Zacatecas,2008,42603,2008-01-01
     Aguascalientes,2009,142229,2009-01-01
     Baja California,2009,226223,2009-01-01
     Baja California Sur,2009,67682,2009-01-01
     Campeche,2009,21644,2009-01-01
     Coahuila ,2009,285000,2009-01-01
     Colima,2009,54534,2009-01-01
     Chiapas,2009,145137,2009-01-01
     Chihuahua,2009,294810,2009-01-01
     D.F. Norte,2009,490191,2009-01-01
     D.F. Sur,2009,626424,2009-01-01
     Durango,2009,156244,2009-01-01
     Guanajuato,2009,314975,2009-01-01
     Guerrero,2009,139157,2009-01-01
     Hidalgo,2009,80566,2009-01-01
     Jalisco,2009,544893,2009-01-01
     México Oriente,2009,584732,2009-01-01
     México Poniente,2009,254783,2009-01-01
     Michoacán,2009,203941,2009-01-01
     Morelos,2009,120891,2009-01-01
     Nayarit,2009,58486,2009-01-01
     Nuevo León,2009,560261,2009-01-01
     Oaxaca,2009,70601,2009-01-01
     Puebla,2009,268833,2009-01-01
     Querétaro,2009,144821,2009-01-01
     Quintana Roo,2009,59540,2009-01-01
     San Luis Potosí,2009,144023,2009-01-01
     Sinaloa,2009,238812,2009-01-01
     Sonora,2009,257215,2009-01-01
     Tabasco,2009,36379,2009-01-01
     Tamaulipas,2009,238917,2009-01-01
     Tlaxcala,2009,51693,2009-01-01
     Veracruz Norte,2009,269833,2009-01-01
     Veracruz Sur,2009,102804,2009-01-01
     Yucatán,2009,149361,2009-01-01
     Zacatecas,2009,50362,2009-01-01
     Aguascalientes,2010,178663,2010-01-01
     Baja California,2010,319744,2010-01-01
     Baja California Sur,2010,94018,2010-01-01
     Campeche,2010,37900,2010-01-01
     Coahuila ,2010,359312,2010-01-01
     Colima,2010,68680,2010-01-01
     Chiapas,2010,138197,2010-01-01
     Chihuahua,2010,306279,2010-01-01
     D.F. Norte,2010,518933,2010-01-01
     D.F. Sur,2010,607441,2010-01-01
     Durango,2010,204610,2010-01-01
     Guanajuato,2010,331682,2010-01-01
     Guerrero,2010,141208,2010-01-01
     Hidalgo,2010,98110,2010-01-01
     Jalisco,2010,699100,2010-01-01
     México Oriente,2010,749191,2010-01-01
     México Poniente,2010,326473,2010-01-01
     Michoacán,2010,197320,2010-01-01
     Morelos,2010,165798,2010-01-01
     Nayarit,2010,77680,2010-01-01
     Nuevo León,2010,713330,2010-01-01
     Oaxaca,2010,94130,2010-01-01
     Puebla,2010,254973,2010-01-01
     Querétaro,2010,155788,2010-01-01
     Quintana Roo,2010,71907,2010-01-01
     San Luis Potosí,2010,153837,2010-01-01
     Sinaloa,2010,303134,2010-01-01
     Sonora,2010,259391,2010-01-01
     Tabasco,2010,38834,2010-01-01
     Tamaulipas,2010,318563,2010-01-01
     Tlaxcala,2010,55483,2010-01-01
     Veracruz Norte,2010,321945,2010-01-01
     Veracruz Sur,2010,144478,2010-01-01
     Yucatán,2010,163850,2010-01-01
     Zacatecas,2010,60074,2010-01-01
     Aguascalientes,2011,204349,2011-01-01
     Baja California,2011,390595,2011-01-01
     Baja California Sur,2011,94020,2011-01-01
     Campeche,2011,39585,2011-01-01
     Coahuila ,2011,404104,2011-01-01
     Colima,2011,74517,2011-01-01
     Chiapas,2011,137115,2011-01-01
     Chihuahua,2011,417307,2011-01-01
     D.F. Norte,2011,533348,2011-01-01
     D.F. Sur,2011,724918,2011-01-01
     Durango,2011,273611,2011-01-01
     Guanajuato,2011,319572,2011-01-01
     Guerrero,2011,133297,2011-01-01
     Hidalgo,2011,118085,2011-01-01
     Jalisco,2011,853525,2011-01-01
     México Oriente,2011,975777,2011-01-01
     México Poniente,2011,361461,2011-01-01
     Michoacán,2011,196263,2011-01-01
     Morelos,2011,181640,2011-01-01
     Nayarit,2011,104982,2011-01-01
     Nuevo León,2011,865816,2011-01-01
     Oaxaca,2011,114745,2011-01-01
     Puebla,2011,252665,2011-01-01
     Querétaro,2011,135300,2011-01-01
     Quintana Roo,2011,56125,2011-01-01
     San Luis Potosí,2011,181273,2011-01-01
     Sinaloa,2011,422212,2011-01-01
     Sonora,2011,333229,2011-01-01
     Tabasco,2011,43126,2011-01-01
     Tamaulipas,2011,286918,2011-01-01
     Tlaxcala,2011,57895,2011-01-01
     Veracruz Norte,2011,316585,2011-01-01
     Veracruz Sur,2011,152336,2011-01-01
     Yucatán,2011,158040,2011-01-01
     Zacatecas,2011,56425,2011-01-01
     Aguascalientes,2012,225115,2012-01-01
     Baja California,2012,455190,2012-01-01
     Baja California Sur,2012,96659,2012-01-01
     Campeche,2012,44519,2012-01-01
     Coahuila ,2012,421009,2012-01-01
     Colima,2012,79651,2012-01-01
     Chiapas,2012,133917,2012-01-01
     Chihuahua,2012,498673,2012-01-01
     D.F. Norte,2012,603380,2012-01-01
     D.F. Sur,2012,767473,2012-01-01
     Durango,2012,283323,2012-01-01
     Guanajuato,2012,352057,2012-01-01
     Guerrero,2012,127938,2012-01-01
     Hidalgo,2012,132800,2012-01-01
     Jalisco,2012,972370,2012-01-01
     México Oriente,2012,1147800,2012-01-01
     México Poniente,2012,506603,2012-01-01
     Michoacán,2012,223777,2012-01-01
     Morelos,2012,186949,2012-01-01
     Nayarit,2012,106980,2012-01-01
     Nuevo León,2012,996724,2012-01-01
     Oaxaca,2012,122916,2012-01-01
     Puebla,2012,292179,2012-01-01
     Querétaro,2012,122682,2012-01-01
     Quintana Roo,2012,69116,2012-01-01
     San Luis Potosí,2012,190356,2012-01-01
     Sinaloa,2012,451371,2012-01-01
     Sonora,2012,363370,2012-01-01
     Tabasco,2012,58873,2012-01-01
     Tamaulipas,2012,315124,2012-01-01
     Tlaxcala,2012,61347,2012-01-01
     Veracruz Norte,2012,351158,2012-01-01
     Veracruz Sur,2012,182400,2012-01-01
     Yucatán,2012,202579,2012-01-01
     Zacatecas,2012,56666,2012-01-01
     Aguascalientes,2013,194036,2013-01-01
     Baja California,2013,418876,2013-01-01
     Baja California Sur,2013,102908,2013-01-01
     Campeche,2013,58167,2013-01-01
     Coahuila ,2013,435345,2013-01-01
     Colima,2013,66771,2013-01-01
     Chiapas,2013,126406,2013-01-01
     Chihuahua,2013,471558,2013-01-01
     D.F. Norte,2013,760758,2013-01-01
     D.F. Sur,2013,1050163,2013-01-01
     Durango,2013,291250,2013-01-01
     Guanajuato,2013,327014,2013-01-01
     Guerrero,2013,131882,2013-01-01
     Hidalgo,2013,135337,2013-01-01
     Jalisco,2013,1020871,2013-01-01
     México Oriente,2013,1220308,2013-01-01
     México Poniente,2013,493844,2013-01-01
     Michoacán,2013,211789,2013-01-01
     Morelos,2013,176208,2013-01-01
     Nayarit,2013,103376,2013-01-01
     Nuevo León,2013,1211010,2013-01-01
     Oaxaca,2013,112501,2013-01-01
     Puebla,2013,266187,2013-01-01
     Querétaro,2013,156711,2013-01-01
     Quintana Roo,2013,75991,2013-01-01
     San Luis Potosí,2013,190933,2013-01-01
     Sinaloa,2013,464545,2013-01-01
     Sonora,2013,352556,2013-01-01
     Tabasco,2013,67947,2013-01-01
     Tamaulipas,2013,380147,2013-01-01
     Tlaxcala,2013,60459,2013-01-01
     Veracruz Norte,2013,367599,2013-01-01
     Veracruz Sur,2013,142265,2013-01-01
     Yucatán,2013,204450,2013-01-01
     Zacatecas,2013,53255,2013-01-01
     Aguascalientes,2014,179898,2014-01-01
     Baja California,2014,391975,2014-01-01
     Baja California Sur,2014,74061,2014-01-01
     Campeche,2014,55157,2014-01-01
     Coahuila ,2014,379859,2014-01-01
     Colima,2014,66589,2014-01-01
     Chiapas,2014,109383,2014-01-01
     Chihuahua,2014,433229,2014-01-01
     D.F. Norte,2014,697475,2014-01-01
     D.F. Sur,2014,771274,2014-01-01
     Durango,2014,193841,2014-01-01
     Guanajuato,2014,230340,2014-01-01
     Guerrero,2014,128058,2014-01-01
     Hidalgo,2014,124510,2014-01-01
     Jalisco,2014,866436,2014-01-01
     México Oriente,2014,850303,2014-01-01
     México Poniente,2014,457491,2014-01-01
     Michoacán,2014,196231,2014-01-01
     Morelos,2014,129292,2014-01-01
     Nayarit,2014,107023,2014-01-01
     Nuevo León,2014,1011234,2014-01-01
     Oaxaca,2014,103598,2014-01-01
     Puebla,2014,239675,2014-01-01
     Querétaro,2014,100456,2014-01-01
     Quintana Roo,2014,73046,2014-01-01
     San Luis Potosí,2014,244569,2014-01-01
     Sinaloa,2014,317299,2014-01-01
     Sonora,2014,293261,2014-01-01
     Tabasco,2014,60665,2014-01-01
     Tamaulipas,2014,371851,2014-01-01
     Tlaxcala,2014,61870,2014-01-01
     Veracruz Norte,2014,309287,2014-01-01
     Veracruz Sur,2014,120891,2014-01-01
     Yucatán,2014,170555,2014-01-01
     Zacatecas,2014,52015,2014-01-01
     Aguascalientes,2015,234123,2015-01-01
     Baja California,2015,582879,2015-01-01
     Baja California Sur,2015,73752,2015-01-01
     Campeche,2015,67127,2015-01-01
     Coahuila ,2015,478300,2015-01-01
     Colima,2015,93374,2015-01-01
     Chiapas,2015,188511,2015-01-01
     Chihuahua,2015,440178,2015-01-01
     D.F. Norte,2015,1028326,2015-01-01
     D.F. Sur,2015,869820,2015-01-01
     Durango,2015,215914,2015-01-01
     Guanajuato,2015,263252,2015-01-01
     Guerrero,2015,178610,2015-01-01
     Hidalgo,2015,142628,2015-01-01
     Jalisco,2015,1001923,2015-01-01
     México Oriente,2015,976338,2015-01-01
     México Poniente,2015,505633,2015-01-01
     Michoacán,2015,307000,2015-01-01
     Morelos,2015,105811,2015-01-01
     Nayarit,2015,133951,2015-01-01
     Nuevo León,2015,1246983,2015-01-01
     Oaxaca,2015,118744,2015-01-01
     Puebla,2015,349825,2015-01-01
     Querétaro,2015,176199,2015-01-01
     Quintana Roo,2015,129828,2015-01-01
     San Luis Potosí,2015,289503,2015-01-01
     Sinaloa,2015,415299,2015-01-01
     Sonora,2015,441915,2015-01-01
     Tabasco,2015,113499,2015-01-01
     Tamaulipas,2015,510867,2015-01-01
     Tlaxcala,2015,76751,2015-01-01
     Veracruz Norte,2015,501352,2015-01-01
     Veracruz Sur,2015,196971,2015-01-01
     Yucatán,2015,189396,2015-01-01
     Zacatecas,2015,70501,2015-01-01
     Aguascalientes,2016,228371,2016-01-01
     Baja California,2016,585283,2016-01-01
     Baja California Sur,2016,105938,2016-01-01
     Campeche,2016,108251,2016-01-01
     Coahuila ,2016,536878,2016-01-01
     Colima,2016,107724,2016-01-01
     Chiapas,2016,212872,2016-01-01
     Chihuahua,2016,517195,2016-01-01
     D.F. Norte,2016,1005516,2016-01-01
     D.F. Sur,2016,1246428,2016-01-01
     Durango,2016,236980,2016-01-01
     Guanajuato,2016,368795,2016-01-01
     Guerrero,2016,189668,2016-01-01
     Hidalgo,2016,153988,2016-01-01
     Jalisco,2016,1034163,2016-01-01
     México Oriente,2016,1059507,2016-01-01
     México Poniente,2016,479156,2016-01-01
     Michoacán,2016,374715,2016-01-01
     Morelos,2016,169177,2016-01-01
     Nayarit,2016,139909,2016-01-01
     Nuevo León,2016,1392412,2016-01-01
     Oaxaca,2016,135721,2016-01-01
     Puebla,2016,451941,2016-01-01
     Querétaro,2016,201159,2016-01-01
     Quintana Roo,2016,207747,2016-01-01
     San Luis Potosí,2016,343432,2016-01-01
     Sinaloa,2016,452453,2016-01-01
     Sonora,2016,455628,2016-01-01
     Tabasco,2016,190410,2016-01-01
     Tamaulipas,2016,571272,2016-01-01
     Tlaxcala,2016,104323,2016-01-01
     Veracruz Norte,2016,505955,2016-01-01
     Veracruz Sur,2016,185746,2016-01-01
     Yucatán,2016,237037,2016-01-01
     Zacatecas,2016,64474,2016-01-01
     Aguascalientes,2017,235856,2017-01-01
     Baja California,2017,657032,2017-01-01
     Baja California Sur,2017,97552,2017-01-01
     Campeche,2017,91410,2017-01-01
     Coahuila ,2017,559638,2017-01-01
     Colima,2017,113770,2017-01-01
     Chiapas,2017,214459,2017-01-01
     Chihuahua,2017,461898,2017-01-01
     D.F. Norte,2017,1022248,2017-01-01
     D.F. Sur,2017,1189163,2017-01-01
     Durango,2017,232286,2017-01-01
     Guanajuato,2017,307771,2017-01-01
     Guerrero,2017,122614,2017-01-01
     Hidalgo,2017,129073,2017-01-01
     Jalisco,2017,1065592,2017-01-01
     México Oriente,2017,904002,2017-01-01
     México Poniente,2017,546090,2017-01-01
     Michoacán,2017,334401,2017-01-01
     Morelos,2017,135485,2017-01-01
     Nayarit,2017,119736,2017-01-01
     Nuevo León,2017,1512199,2017-01-01
     Oaxaca,2017,131377,2017-01-01
     Puebla,2017,441609,2017-01-01
     Querétaro,2017,182286,2017-01-01
     Quintana Roo,2017,174234,2017-01-01
     San Luis Potosí,2017,342961,2017-01-01
     Sinaloa,2017,415313,2017-01-01
     Sonora,2017,440156,2017-01-01
     Tabasco,2017,153717,2017-01-01
     Tamaulipas,2017,483118,2017-01-01
     Tlaxcala,2017,88608,2017-01-01
     Veracruz Norte,2017,545500,2017-01-01
     Veracruz Sur,2017,167643,2017-01-01
     Yucatán,2017,193051,2017-01-01
     Zacatecas,2017,71607,2017-01-01
     Aguascalientes,2018,194442,2018-01-01
