delegacion,ano,detecciones,fecha
     Durango,2019,237703,2019-01-01
     Guanajuato,2019,283830,2019-01-01
     Guerrero,2019,119137,2019-01-01
     Hidalgo,2019,159631,2019-01-01
     Jalisco,2019,1006087,2019-01-01
     México Oriente,2019,848408,2019-01-01
     México Poniente,2019,535656,2019-01-01
     Michoacán,2019,295134,2019-01-01
     Morelos,2019,149250,2019-01-01
     Nayarit,2019,96658,2019-01-01
     Nuevo León,2019,1447052,2019-01-01
     Oaxaca,2019,125804,2019-01-01
     Puebla,2019,452568,2019-01-01
     Querétaro,2019,167325,2019-01-01
     Quintana Roo,2019,184177,2019-01-01
     San Luis Potosí,2019,249913,2019-01-01
     Sinaloa,2019,408256,2019-01-01
     Sonora,2019,369206,2019-01-01
     Tabasco,2019,128499,2019-01-01
     Tamaulipas,2019,475779,2019-01-01
     Tlaxcala,2019,89614,2019-01-01
     Veracruz Norte,2019,514347,2019-01-01
     Veracruz Sur,2019,194983,2019-01-01
     Yucatán,2019,197624,2019-01-01
     Zacatecas,2019,67310,2019-01-01
     Aguascalientes,2020,86265,2020-01-01
     Baja California,2020,240628,2020-01-01
     Baja California Sur,2020,55146,2020-01-01
     Campeche,2020,33898,2020-01-01
     Coahuila ,2020,229403,2020-01-01
     Colima,2020,57427,2020-01-01
     Chiapas,2020,58405,2020-01-01
     Chihuahua,2020,188236,2020-01-01
     D.F. Norte,2020,516553,2020-01-01
     D.F. Sur,2020,649527,2020-01-01
     Durango,2020,138378,2020-01-01
     Guanajuato,2020,161048,2020-01-01
     Guerrero,2020,62192,2020-01-01
     Hidalgo,2020,81643,2020-01-01
     Jalisco,2020,542413,2020-01-01
     México Oriente,2020,513724,2020-01-01
     México Poniente,2020,328248,2020-01-01
     Michoacán,2020,162597,2020-01-01
     Morelos,2020,112343,2020-01-01
     Nayarit,2020,63814,2020-01-01
     Nuevo León,2020,1063843,2020-01-01
     Oaxaca,2020,56490,2020-01-01
     Puebla,2020,334799,2020-01-01
     Querétaro,2020,97605,2020-01-01
     Quintana Roo,2020,93425,2020-01-01
     San Luis Potosí,2020,178049,2020-01-01
     Sinaloa,2020,204571,2020-01-01
     Sonora,2020,175576,2020-01-01
     Tabasco,2020,54694,2020-01-01
     Tamaulipas,2020,233389,2020-01-01
     Tlaxcala,2020,40421,2020-01-01
     Veracruz Norte,2020,220933,2020-01-01
     Veracruz Sur,2020,120986,2020-01-01
     Yucatán,2020,79098,2020-01-01
     Zacatecas,2020,33773,2020-01-01
     Aguascalientes,2021,134128,2021-01-01
     Baja California,2021,403733,2021-01-01
     Baja California Sur,2021,80318,2021-01-01
     Campeche,2021,67943,2021-01-01
     Coahuila ,2021,394887,2021-01-01
     Colima,2021,69576,2021-01-01
     Chiapas,2021,114288,2021-01-01
     Chihuahua,2021,287104,2021-01-01
     D.F. Norte,2021,531916,2021-01-01
     D.F. Sur,2021,1006551,2021-01-01
     Durango,2021,218400,2021-01-01
     Guanajuato,2021,275211,2021-01-01
     Guerrero,2021,85201,2021-01-01
     Hidalgo,2021,124053,2021-01-01
     Jalisco,2021,661122,2021-01-01
     México Oriente,2021,652636,2021-01-01
     México Poniente,2021,407702,2021-01-01
     Michoacán,2021,219932,2021-01-01
     Morelos,2021,166301,2021-01-01
     Nayarit,2021,105031,2021-01-01
     Nuevo León,2021,1362194,2021-01-01
     Oaxaca,2021,87031,2021-01-01
     Puebla,2021,479501,2021-01-01
     Querétaro,2021,144451,2021-01-01
     Quintana Roo,2021,166148,2021-01-01
     San Luis Potosí,2021,291386,2021-01-01
     Sinaloa,2021,289931,2021-01-01
     Sonora,2021,269507,2021-01-01
     Tabasco,2021,88018,2021-01-01
     Tamaulipas,2021,344273,2021-01-01
     Tlaxcala,2021,60871,2021-01-01
     Veracruz Norte,2021,289949,2021-01-01
     Veracruz Sur,2021,182315,2021-01-01
     Yucatán,2021,142331,2021-01-01
     Zacatecas,2021,54406,2021-01-01
     Aguascalientes,2022,182988,2022-01-01
     Baja California,2022,580768,2022-01-01
     Baja California Sur,2022,184251,2022-01-01
     Campeche,2022,77430,2022-01-01
     Coahuila ,2022,506748,2022-01-01
     Colima,2022,92806,2022-01-01
     Chiapas,2022,162042,2022-01-01
     Chihuahua,2022,391625,2022-01-01
     D.F. Norte,2022,234522,2022-01-01
     D.F. Sur,2022,386593,2022-01-01
     Durango,2022,114338,2022-01-01
     Guanajuato,2022,173307,2022-01-01
     Guerrero,2022,903481,2022-01-01
     Hidalgo,2022,914424,2022-01-01
     Jalisco,2022,542866,2022-01-01
     México Oriente,2022,269571,2022-01-01
     México Poniente,2022,219252,2022-01-01
     Michoacán,2022,130004,2022-01-01
     Morelos,2022,1352668,2022-01-01
     Nayarit,2022,121232,2022-01-01
     Nuevo León,2022,660258,2022-01-01
     Oaxaca,2022,192210,2022-01-01
     Puebla,2022,213536,2022-01-01
     Querétaro,2022,321855,2022-01-01
     Quintana Roo,2022,444409,2022-01-01
     San Luis Potosí,2022,313397,2022-01-01
     Sinaloa,2022,113379,2022-01-01
     Sonora,2022,457720,2022-01-01
     Tabasco,2022,87830,2022-01-01
     Tamaulipas,2022,385177,2022-01-01
     Tlaxcala,2022,224261,2022-01-01
     Veracruz Norte,2022,214349,2022-01-01
     Veracruz Sur,2022,80829,2022-01-01
     Yucatán,2022,564962,2022-01-01
     Zacatecas,2022,1331163,2022-01-01
     Aguascalientes,2023,190098,2023-01-01
     Baja California,2023,783025,2023-01-01
     Baja California Sur,2023,201821,2023-01-01
     Campeche,2023,117849,2023-01-01
     Coahuila ,2023,597272,2023-01-01
     Colima,2023,114050,2023-01-01
     Chiapas,2023,188791,2023-01-01
     Chihuahua,2023,436449,2023-01-01
     D.F. Norte,2023,576328,2023-01-01
     D.F. Sur,2023,1304604,2023-01-01
     Durango,2023,277579,2023-01-01
     Guanajuato,2023,535035,2023-01-01
     Guerrero,2023,134875,2023-01-01
     Hidalgo,2023,157333,2023-01-01
     Jalisco,2023,1109538,2023-01-01
     México Oriente,2023,1502022,2023-01-01
     México Poniente,2023,618835,2023-01-01
     Michoacán,2023,301450,2023-01-01
     Morelos,2023,212190,2023-01-01
     Nayarit,2023,172086,2023-01-01
     Nuevo León,2023,1339957,2023-01-01
     Oaxaca,2023,162177,2023-01-01
     Puebla,2023,669005,2023-01-01
     Querétaro,2023,241562,2023-01-01
     Quintana Roo,2023,302574,2023-01-01
     San Luis Potosí,2023,338508,2023-01-01
     Sinaloa,2023,567466,2023-01-01
     Sonora,2023,411889,2023-01-01
     Tabasco,2023,172638,2023-01-01
     Tamaulipas,2023,762855,2023-01-01
     Tlaxcala,2023,111594,2023-01-01
     Veracruz Norte,2023,514431,2023-01-01
     Veracruz Sur,2023,303843,2023-01-01
     Yucatán,2023,270760,2023-01-01
     Zacatecas,2023,101002,2023-01-01
